iter	Logloss
0	0.6627626689
1	0.6405414699
2	0.6233957897
3	0.6083085541
4	0.5951525328
5	0.5849377136
6	0.5767003658
7	0.570336305
8	0.5651946288
9	0.561066329
10	0.5577968018
11	0.5546930927
12	0.5519826945
13	0.550289249
14	0.5486324501
15	0.5469255064
16	0.5455569333
17	0.5440659846
18	0.5427551845
19	0.5414694459
20	0.5406653459
21	0.5394410311
22	0.5383406838
23	0.5372777034
24	0.5364172376
25	0.5357262466
26	0.5347930486
27	0.5341118196
28	0.53346345
29	0.5330516898
30	0.5321793366
31	0.5315634509
32	0.5309652403
33	0.5303999082
34	0.5297503346
35	0.5293963565
36	0.5289606308
37	0.5286323692
38	0.5281210339
39	0.5278267504
40	0.52706692
41	0.5267291106
42	0.5264887271
43	0.5261632908
44	0.5255521013
45	0.5252810788
46	0.524949974
47	0.5246991868
48	0.5244474165
49	0.5240797523
50	0.5235343659
51	0.5231569812
52	0.5228033945
53	0.5226010961
54	0.5223752773
55	0.5218866519
56	0.5215668782
57	0.5210238919
58	0.5207992787
59	0.5204663489
60	0.5200444469
61	0.5198028869
62	0.5196317732
63	0.5194216968
64	0.5192946246
65	0.5189870424
66	0.518457885
67	0.5180406715
68	0.5177371018
69	0.517376537
70	0.5171481797
71	0.5167115674
72	0.5163598415
73	0.5159563915
74	0.515736824
75	0.5154270019
76	0.5153622221
77	0.5151827713
78	0.5150169814
79	0.5147915125
80	0.5144142713
81	0.5140779571
82	0.5134156474
83	0.5130284154
84	0.5129792309
85	0.5128229458
86	0.5124889742
87	0.5121862808
88	0.5120483562
89	0.5118524675
90	0.5115866556
91	0.5113868646
92	0.5109443157
93	0.5107198234
94	0.5106169031
95	0.5103571956
96	0.5100941688
97	0.5099716137
98	0.5098721422
99	0.5095192018
