iter	Passed	Remaining
0	15	1539
1	31	1547
2	48	1562
3	68	1646
4	90	1727
5	115	1810
6	135	1802
7	151	1746
8	171	1737
9	188	1698
10	205	1666
11	221	1625
12	241	1613
13	258	1586
14	275	1560
15	291	1530
16	313	1532
17	332	1512
18	348	1484
19	364	1459
20	381	1434
21	398	1414
22	414	1388
23	432	1371
24	452	1357
25	472	1344
26	489	1322
27	510	1312
28	528	1293
29	546	1274
30	563	1254
31	582	1238
32	598	1214
33	615	1195
34	653	1213
35	683	1214
36	704	1199
37	727	1187
38	749	1172
39	767	1150
40	785	1129
41	801	1107
42	818	1084
43	833	1060
44	851	1041
45	868	1019
46	885	998
47	903	979
48	922	959
49	936	936
50	953	915
51	968	894
52	986	875
53	1003	855
54	1021	835
55	1036	814
56	1053	794
57	1070	774
58	1086	754
59	1100	733
60	1116	713
61	1132	694
62	1147	674
63	1165	655
64	1181	636
65	1199	617
66	1215	598
67	1232	579
68	1248	560
69	1268	543
70	1283	524
71	1302	506
72	1319	487
73	1337	469
74	1353	451
75	1370	432
76	1386	414
77	1404	396
78	1419	377
79	1437	359
80	1454	341
81	1471	323
82	1488	304
83	1506	286
84	1521	268
85	1538	250
86	1554	232
87	1572	214
88	1587	196
89	1605	178
90	1623	160
91	1641	142
92	1658	124
93	1676	106
94	1692	89
95	1709	71
96	1724	53
97	1741	35
98	1756	17
99	1773	0
